section_id,section_name,category_id,category_name,item_id,item_name
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168481,Valves
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168482,Ball Bearings
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168504,Electrical Transformers
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168512,Electrical Lighting and Signalling Equipment
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168518,Microphones and Headphones
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168525,Broadcasting Equipment
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168529,Broadcasting Accessories
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168534,Printed Circuit Boards
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168536,Low-voltage Protection Equipment
17,Transportation,1787,Vehicles,178708,Motor vehicles; parts and accessories (8701 to 8705)
17,Transportation,1788,"Aircraft, spacecraft and parts ",178803,Aircraft Parts
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189015,Surveying Equipment
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189030,Oscilloscopes
18,Instruments,1891,Clocks and watches and parts thereof,189104,Dashboard Clocks
18,Instruments,1892,Musical instruments; parts and accessories of such articles,189202,String Instruments
18,Instruments,1892,Musical instruments; parts and accessories of such articles,189207,Electric Musical Instruments
18,Instruments,1892,Musical instruments; parts and accessories of such articles,189209,Musical Instrument Parts
20,Miscellaneous,2094,Furniture,209405,Light Fixtures
20,Miscellaneous,2095,Toys,209503,Other toys
1,Animal Products,104,Edible Animal By-Products,10406,Cheese
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20713,Dried Legumes
2,Vegetable Products,209,"Coffee, tea, mate and spices",20901,Coffee
2,Vegetable Products,210,Cereals,21008,Buckwheat
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,Wheat Flours
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21209,Sowing Seeds
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31515,Other Pure Vegetable Oils
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41901,Malt Extract
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41904,Prepared Cereals
4,Foodstuffs,421,Miscellaneous edible preparations,42102,Yeast
4,Foodstuffs,421,Miscellaneous edible preparations,42103,Sauces and Seasonings
6,Chemical Products,628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62811,Other Inorganic Acids
6,Chemical Products,629,Organic chemicals,62907,Phenols
6,Chemical Products,632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",63215,Ink
7,Plastics and Rubbers,740,Rubber and rubber articles,74010,Rubber Belting
8,Animal Hides,841,Raw leather from different animals,84102,Sheep Hides
10,Paper Goods,1047,Pulp of wood or other fibrous cellulosic material,104707,Recovered Paper
10,Paper Goods,1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104901,Brochures
11,Textiles,1162,Apparel and clothing accessories; not knitted or crocheted,116201,Non-Knit Men's Coats
11,Textiles,1163,Textiles rags,116309,Used Clothing
15,Metals,1574,Copper and articles thereof,157412,Copper Pipe Fittings
15,Metals,1576,Aluminium and articles thereof,157601,Raw Aluminium
15,Metals,1582,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",158202,Hand Saws
15,Metals,1583,Metal; miscellaneous products of base metal,158305,Metal Office Supplies
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168409,Engine Parts
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168428,Lifting Machinery
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168511,Electrical Ignitions
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189018,Medical Instruments
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189022,X-Ray Equipment
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189027,Chemical Analysis Instruments
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat
1,Animal Products,104,Edible Animal By-Products,10402,Concentrated Milk
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20708,Legumes
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20710,Frozen Vegetables
2,Vegetable Products,210,Cereals,21006,Rice
2,Vegetable Products,210,Cereals,21007,Sorghum
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,Cereal Flours
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31507,Soybean Oil
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31512,Seed Oils
5,Mineral Products,527,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",52712,Petroleum Jelly
6,Chemical Products,628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62851,Inorganic Compounds
6,Chemical Products,629,Organic chemicals,62905,Acyclic Alcohols
6,Chemical Products,629,Organic chemicals,62906,Cyclic Alcohols
6,Chemical Products,629,Organic chemicals,62915,Saturated Acyclic Monocarboxylic Acids
6,Chemical Products,630,Pharmaceutical products,63001,Glands and Other Organs
6,Chemical Products,630,Pharmaceutical products,63002,"Vaccines, blood, antisera, toxins and cultures"
6,Chemical Products,630,Pharmaceutical products,63005,Bandages
6,Chemical Products,630,Pharmaceutical products,63006,Special Pharmaceuticals
6,Chemical Products,633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,Beauty Products
6,Chemical Products,634,"Soap, organic surface-active agents, others",63401,Soap
6,Chemical Products,637,Photographic or cinematographic goods,63706,"Motion-picture film, exposed and developed"
6,Chemical Products,637,Photographic or cinematographic goods,63707,Photographic Chemicals
6,Chemical Products,638,Chemical products n.e.s.,63822,Laboratory Reagents
7,Plastics and Rubbers,739,Plastics and articles thereof,73901,Ethylene Polymers
7,Plastics and Rubbers,739,Plastics and articles thereof,73917,Plastic Pipes
7,Plastics and Rubbers,739,Plastics and articles thereof,73918,Plastic Floor Coverings
7,Plastics and Rubbers,739,Plastics and articles thereof,73920,Raw Plastic Sheeting
7,Plastics and Rubbers,739,Plastics and articles thereof,73921,Other Plastic Sheetings
7,Plastics and Rubbers,739,Plastics and articles thereof,73923,Plastic Lids
7,Plastics and Rubbers,739,Plastics and articles thereof,73926,Other Plastic Products
7,Plastics and Rubbers,740,Rubber and rubber articles,74011,Rubber Tires
7,Plastics and Rubbers,740,Rubber and rubber articles,74014,Pharmaceutical Rubber Products
7,Plastics and Rubbers,740,Rubber and rubber articles,74016,Other Rubber Products
8,Animal Hides,842,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",84202,Trunks and Cases
9,Wood Products,944,Wood and articles of wood; wood charcoal,94418,Wood Carpentry
10,Paper Goods,1048,Paper Articles,104805,Other Uncoated Paper
10,Paper Goods,1048,Paper Articles,104810,Kaolin Coated Paper
10,Paper Goods,1048,Paper Articles,104817,Letter Stock
10,Paper Goods,1048,Paper Articles,104819,Paper Containers
10,Paper Goods,1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104908,Decals
10,Paper Goods,1049,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",104911,Other Printed Material
11,Textiles,1155,Man-made staple fibres,115504,Unprocessed Artificial Staple Fibers
11,Textiles,1156,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",115603,Non-woven Textiles
11,Textiles,1157,Carpets and other textile floor coverings,115703,Tufted Carpets
11,Textiles,1158,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",115801,Woven Fabrics
11,Textiles,1161,Apparel and clothing accessories; knitted or crocheted,116109,Knit T-shirts
11,Textiles,1162,Apparel and clothing accessories; not knitted or crocheted,116205,Non-Knit Men's Shirts
11,Textiles,1162,Apparel and clothing accessories; not knitted or crocheted,116211,Non-Knit Active Wear
11,Textiles,1163,Textiles rags,116302,House Linens
11,Textiles,1163,Textiles rags,116304,Bedspreads
11,Textiles,1163,Textiles rags,116307,Other Cloth Articles
13,Stone And Glass,1369,Ceramic products,136905,Roofing Tiles
13,Stone And Glass,1370,Glass and glassware,137009,Glass Mirrors
13,Stone And Glass,1370,Glass and glassware,137013,Interior Decorative Glassware
13,Stone And Glass,1370,Glass and glassware,137017,Laboratory Glassware
15,Metals,1573,Iron or steel articles,157304,Iron Pipes
15,Metals,1573,Iron or steel articles,157307,Iron Pipe Fittings
15,Metals,1573,Iron or steel articles,157308,Iron Structures
15,Metals,1573,Iron or steel articles,157312,Stranded Iron Wire
15,Metals,1573,Iron or steel articles,157318,Iron Fasteners
15,Metals,1574,Copper and articles thereof,157411,Copper Pipes
15,Metals,1576,Aluminium and articles thereof,157607,Aluminium Foil
15,Metals,1576,Aluminium and articles thereof,157615,Aluminium Housewares
15,Metals,1582,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",158204,Wrenches
15,Metals,1582,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",158211,Knives
15,Metals,1582,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",158215,Cutlery Sets
15,Metals,1583,Metal; miscellaneous products of base metal,158301,Padlocks
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168414,Air Pumps
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168418,Refrigerators
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168419,Other Heating Machinery
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168421,Centrifuges
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168422,Washing and Bottling Machines
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168429,Large Construction Vehicles
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168430,Other Construction Vehicles
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168437,Mill Machinery
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168442,Print Production Machinery
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168443,Industrial Printers
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168468,Soldering and Welding Machinery
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168471,Computers
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168472,Other Office Machines
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168473,Office Machine Parts
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168477,Rubberworking Machinery
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168479,Machinery Having Individual Functions
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168483,Transmissions
16,Machines,1684,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",168485,Boat Propellers
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168501,Electric Motors
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168502,Electric Generating Sets
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168506,Batteries
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168509,Other Domestic Electric Housewares
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168516,Electric Heaters
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168517,Telephones
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168519,Sound Recording Equipment
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168520,Dictation Machines
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168521,Video Recording Equipment
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168523,Blank Audio Media
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168524,Sound Recordings
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168527,Radio Receivers
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168528,Video Displays
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168530,Traffic Signals
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168531,Audio Alarms
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168538,Electrical Power Accessories
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168539,Electric Filament
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168542,Integrated Circuits
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168543,Other Electrical Machinery
16,Machines,1685,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",168544,Insulated Wire
17,Transportation,1786,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",178604,Railway Maintenance Vehicles
17,Transportation,1786,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",178608,Railway Track Fixtures
17,Transportation,1787,Vehicles,178703,Cars
17,Transportation,1787,Vehicles,178704,Delivery Trucks
17,Transportation,1787,Vehicles,178705,Special purpose motor vehicles
17,Transportation,1787,Vehicles,178709,Work Trucks
17,Transportation,1787,Vehicles,178716,"Trailers and semi-trailers, not mechanically propelled vehicles"
17,Transportation,1788,"Aircraft, spacecraft and parts ",178802,"Planes, Helicopters, and/or Spacecraft"
17,Transportation,1789,"Ships, boats and floating structures",178903,Recreational Boats
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189007,Video Cameras
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189009,Photocopiers
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189010,Photo Lab Equipment
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189016,Balances
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189019,Therapeutic Appliances
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189021,Orthopedic Appliances
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189023,Instructional Models
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189025,Hydrometers
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189026,Gas and Liquid Flow Measuring Instruments
18,Instruments,1890,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",189032,Thermostats
18,Instruments,1891,Clocks and watches and parts thereof,189114,Other Clocks and Watches
18,Instruments,1892,Musical instruments; parts and accessories of such articles,189203,Pipe Organs
20,Miscellaneous,2094,Furniture,209402,Medical Furniture
20,Miscellaneous,2094,Furniture,209403,Other Furniture
20,Miscellaneous,2094,Furniture,209406,Prefabricated Buildings
20,Miscellaneous,2095,Toys,209504,Video and Card Games
20,Miscellaneous,2095,Toys,209506,Sports Equipment
20,Miscellaneous,2096,Miscellaneous manufactured articles,209611,Rubber Stamps
20,Miscellaneous,2096,Miscellaneous manufactured articles,209612,Ink Ribbons
1,Animal Products,103,Aquatic Animals,10305,Processed Fish
1,Animal Products,103,Aquatic Animals,10307,Molluscs
1,Animal Products,104,Edible Animal By-Products,10401,Milk
1,Animal Products,104,Edible Animal By-Products,10404,Whey and other milk products
1,Animal Products,104,Edible Animal By-Products,10405,Butter
1,Animal Products,104,Edible Animal By-Products,10409,Honey
2,Vegetable Products,206,"Live trees, plants, bulbs, roots and cut flowers",20602,"Other live plants, cuttings and slips;
mushroom spawn"
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20703,Onions
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20704,Cabbages
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20712,Dried Vegetables
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews"
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,Other Nuts
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,Tropical Fruits
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,Frozen Fruits and Nuts
2,Vegetable Products,209,"Coffee, tea, mate and spices",20902,Tea
2,Vegetable Products,209,"Coffee, tea, mate and spices",20904,Pepper
2,Vegetable Products,209,"Coffee, tea, mate and spices",20910,Spices
2,Vegetable Products,210,Cereals,21005,Corn
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,Processed Cereals
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,Potato Flours
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,Malt
2,Vegetable Products,211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,Starches
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21201,Soybeans
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21206,Sunflower Seeds
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21207,Other Oily Seeds
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21208,Oil Seed Flower
2,Vegetable Products,212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21211,Perfume Plants
2,Vegetable Products,213,"Lac; gums, resins and other vegetable saps and extracts",21302,Vegetable Saps
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31502,"Bovine, Sheep, and Goat Fat"
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31505,Wool Grease
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31508,Ground Nut Oil
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31509,Pure Olive Oil
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31516,Other Vegetable Oils
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31517,Margarine
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31519,Stearic Acid
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils and waxes",31520,Glycerol
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41601,Sausages
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41602,Other Prepared Meat
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41604,Processed Fish
4,Foodstuffs,416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41605,Processed Crustaceans
4,Foodstuffs,417,Sugars and sugar confectionery,41701,Raw Sugar
4,Foodstuffs,417,Sugars and sugar confectionery,41702,Other Sugars
4,Foodstuffs,418,Cocoa and cocoa preparations,41804,Cocoa Butter
4,Foodstuffs,418,Cocoa and cocoa preparations,41806,Chocolate
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41902,Pasta
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42001,Pickled Foods
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42002,Processed Tomatoes
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42003,Processed Mushrooms
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,Jams
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,Other Processed Fruits and Nuts
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other parts of plants",42009,Fruit Juice
4,Foodstuffs,421,Miscellaneous edible preparations,42101,Coffee and Tea Extracts
4,Foodstuffs,421,Miscellaneous edible preparations,42104,Soups and Broths
4,Foodstuffs,421,Miscellaneous edible preparations,42105,Ice Cream
4,Foodstuffs,421,Miscellaneous edible preparations,42106,Other Edible Preparations
4,Foodstuffs,422,"Beverages, spirits and vinegar",42202,Flavored Water
4,Foodstuffs,422,"Beverages, spirits and vinegar",42204,Wine
4,Foodstuffs,422,"Beverages, spirits and vinegar",42208,Hard Liquor
4,Foodstuffs,422,"Beverages, spirits and vinegar",42209,Vinegar
4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",42304,Soybean Meal
4,Foodstuffs,423,"Food industries, residues and wastes thereof; prepared animal fodder",42309,Animal Food
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52501,Salt
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52505,Sand
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52506,Quartz
5,Mineral Products,525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52507,Kaolin
